Customer ID,Feedback Channel,Rating,Comment,Date
C12440,Email,5,Customer support was very helpful.,2024-10-12
C12430,Survey,3,Very satisfied with my experience.,2024-10-27
C12346,Social Media,5,I am unhappy with my purchase.,2024-10-18
C12351,Survey,5,I am unhappy with my purchase.,2024-10-20
C12356,Survey,4,Will definitely recommend to others.,2024-10-29
C12438,Email,4,Quick delivery and good quality.,2024-10-31
C12399,Email,2,The service was great!,2024-11-03
C12374,Email,2,The service was great!,2024-10-28
C12430,Social Media,4,Very satisfied with my experience.,2024-11-04
C12406,Email,4,The product met my expectations.,2024-10-23
C12441,Social Media,2,Could improve product quality.,2024-11-01
C12376,Social Media,4,The product met my expectations.,2024-10-08
C12433,Survey,1,Very satisfied with my experience.,2024-11-02
C12405,Email,4,I am unhappy with my purchase.,2024-10-19
C12403,Social Media,4,I am unhappy with my purchase.,2024-10-27
C12431,Survey,3,Quick delivery and good quality.,2024-10-16
C12373,Survey,2,Will definitely recommend to others.,2024-10-06
C12351,Social Media,5,Will definitely recommend to others.,2024-10-14
C12355,Email,4,Will definitely recommend to others.,2024-10-16
C12389,Survey,1,Could improve product quality.,2024-10-26
C12424,Email,2,The product met my expectations.,2024-10-11
C12363,Email,2,Had some issues with the order.,2024-11-03
C12443,Social Media,4,Could improve product quality.,2024-10-25
C12422,Email,5,The service was great!,2024-10-12
C12360,Email,3,Will definitely recommend to others.,2024-10-14
C12439,Email,5,Not worth the price.,2024-10-07
C12406,Email,4,Will definitely recommend to others.,2024-10-21
C12375,Survey,3,Very satisfied with my experience.,2024-10-14
C12425,Email,4,The product met my expectations.,2024-10-30
C12393,Survey,1,Customer support was very helpful.,2024-10-18
C12347,Email,3,Not worth the price.,2024-10-31
C12345,Survey,3,The product met my expectations.,2024-10-06
C12443,Social Media,5,Could improve product quality.,2024-10-25
C12395,Email,3,Could improve product quality.,2024-10-14
C12411,Email,1,Not worth the price.,2024-10-08
C12348,Email,3,The product met my expectations.,2024-10-29
C12422,Social Media,2,The service was great!,2024-10-11
C12345,Email,2,Not worth the price.,2024-10-30
C12373,Social Media,3,The service was great!,2024-10-13
C12396,Survey,5,Will definitely recommend to others.,2024-10-06
C12348,Social Media,1,Could improve product quality.,2024-10-06
C12434,Email,2,Customer support was very helpful.,2024-10-06
C12391,Social Media,1,Not worth the price.,2024-10-09
C12439,Email,2,Will definitely recommend to others.,2024-10-08
C12443,Social Media,2,Quick delivery and good quality.,2024-10-29
C12421,Email,5,Not worth the price.,2024-10-31
C12421,Social Media,5,I am unhappy with my purchase.,2024-10-21
C12417,Survey,3,Had some issues with the order.,2024-10-06
C12413,Survey,3,The product met my expectations.,2024-10-24
C12426,Survey,1,The service was great!,2024-10-24
C12394,Survey,5,Not worth the price.,2024-10-07
C12421,Email,2,Quick delivery and good quality.,2024-10-09
C12409,Social Media,4,The service was great!,2024-10-25
C12400,Social Media,5,I am unhappy with my purchase.,2024-10-08
C12432,Survey,5,The service was great!,2024-10-13
C12368,Survey,1,The product met my expectations.,2024-10-27
C12394,Survey,1,Will definitely recommend to others.,2024-10-28
C12395,Email,4,The service was great!,2024-10-28
C12355,Social Media,4,Quick delivery and good quality.,2024-10-13
C12372,Social Media,1,Customer support was very helpful.,2024-10-05
C12357,Social Media,4,Had some issues with the order.,2024-10-15
C12369,Email,5,Very satisfied with my experience.,2024-10-12
C12429,Email,1,I am unhappy with my purchase.,2024-11-02
C12355,Social Media,3,Customer support was very helpful.,2024-11-02
C12393,Social Media,2,Very satisfied with my experience.,2024-11-03
C12349,Email,2,Will definitely recommend to others.,2024-10-27
C12424,Email,5,Had some issues with the order.,2024-10-13
C12428,Survey,5,Had some issues with the order.,2024-10-30
C12386,Email,1,The product met my expectations.,2024-10-29
C12378,Email,5,Quick delivery and good quality.,2024-11-01
C12391,Survey,5,The product met my expectations.,2024-10-24
C12419,Email,5,Could improve product quality.,2024-10-30
C12415,Survey,1,Could improve product quality.,2024-10-07
C12359,Email,1,Had some issues with the order.,2024-10-30
C12349,Email,5,The service was great!,2024-10-19
C12434,Social Media,2,Very satisfied with my experience.,2024-10-28
C12383,Email,4,Will definitely recommend to others.,2024-10-29
C12409,Email,2,Not worth the price.,2024-10-29
C12377,Survey,5,Could improve product quality.,2024-10-26
C12399,Survey,5,Not worth the price.,2024-11-01
C12365,Social Media,5,Not worth the price.,2024-10-10
C12418,Email,5,Could improve product quality.,2024-10-05
C12418,Email,5,The product met my expectations.,2024-10-31
C12423,Social Media,5,Quick delivery and good quality.,2024-10-24
C12348,Survey,1,Very satisfied with my experience.,2024-10-24
C12435,Social Media,5,Very satisfied with my experience.,2024-10-15
C12364,Social Media,3,I am unhappy with my purchase.,2024-10-17
C12381,Email,5,The service was great!,2024-10-20
C12400,Survey,5,The product met my expectations.,2024-10-12
C12354,Social Media,4,Had some issues with the order.,2024-10-13
C12346,Social Media,3,The product met my expectations.,2024-10-19
C12418,Survey,1,I am unhappy with my purchase.,2024-10-23
C12348,Email,2,Had some issues with the order.,2024-10-23
C12440,Social Media,3,Customer support was very helpful.,2024-10-28
C12419,Email,1,Quick delivery and good quality.,2024-10-16
C12378,Survey,2,Could improve product quality.,2024-10-11
C12443,Survey,2,The product met my expectations.,2024-10-31
C12388,Email,5,Could improve product quality.,2024-10-09
C12345,Social Media,2,Very satisfied with my experience.,2024-10-18
C12408,Social Media,4,Quick delivery and good quality.,2024-10-16
